Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@laperrinachispa,@laperrinachispa,<[2020-04-25T15:26:02.204Z]>,User,,,,,,,Wed Nov 19 20:51:02 CET 2014,,,,"El sabio puede cambiar de opinión, el necio nunca. (kant)",,http://pbs.twimg.com/profile_images/858642541280862209/p7JB2grD_bigger.jpg,247,375,Inma,,,,
@madrid_vegano,@madrid_vegano,"<[2020-04-25T15:26:02.204Z, 2020-04-25T15:26:02.211Z, 2020-04-25T15:53:37.364Z, 2020-04-25T15:53:37.365Z, 2020-04-26T19:50:41.605Z, 2020-04-26T20:34:33.010Z, 2020-04-26T20:34:39.261Z, 2020-04-26T20:45:00.802Z]>",User,,,,,,,Tue Nov 10 22:46:28 CET 2015,,,,"Medio y guía #online que informa sobre todo lo relacionado con #veganismo (restaurantes, tiendas, activismo, eventos...) en la Comunidad de #Madrid.",,http://pbs.twimg.com/profile_images/1148238559410819072/M44k16h1_bigger.jpg,131,4539,Madrid Vegano,Madrid,,,
@oberonlibros,@oberonlibros,"<[2020-04-25T15:26:02.204Z, 2020-04-25T15:26:02.211Z, 2020-04-25T15:53:37.364Z, 2020-04-25T15:53:37.365Z, 2020-04-26T17:44:11.896Z, 2020-04-26T20:34:33.010Z, 2020-04-26T20:34:39.261Z]>",User,,,,,,,Thu Sep 25 16:07:51 CEST 2014,,,,Editorial especializada en libros de #Gastronomía #Cocina #Misterio #Manualidades #DIY #Psicología #HistoriaAlternativa #Salud ¡y mucho más!,,http://pbs.twimg.com/profile_images/515154545903558657/GwPVgxGO_bigger.jpeg,4722,8091,Oberon Libros,Madrid,,,
@ecatas,@ecatas,"<[2020-04-25T15:26:07.142Z, 2020-04-25T15:26:07.145Z]>",User,,,,,,,Sun May 10 12:15:44 CEST 2009,,,,"#WineUP Joaquín Parra. #guiadevino #WineUp, #bodegasSingulares y #WineUpTour. descarga en http://goo.gl/QryvRc Marketing y comunicación a bodegas,  #enoturismo",,http://pbs.twimg.com/profile_images/950047608214573057/_67GrMV0_bigger.jpg,1963,4940,Guia #WineUp!,España,,,
@verumbodegas,@verumbodegas,"<[2020-04-25T15:26:07.142Z, 2020-04-25T15:26:07.145Z]>",User,,,,,,,Wed Oct 24 17:24:14 CEST 2012,,,,"Verum bodegas y viñedos, la bodega de los cinco sentidos.",,http://pbs.twimg.com/profile_images/1177133367634141184/LkuGILMz_bigger.jpg,1201,2127,Verum,Tomelloso,,,
@parreshia,@parreshia,<[2020-04-25T15:26:08.921Z]>,User,,,,,,,Sat Nov 27 09:48:44 CET 2010,,,,Medicina Educación  Acción  Política Afirmativa,,http://pbs.twimg.com/profile_images/1143635816964591617/98fBWDX7_bigger.png,5001,1922,Marcelo  Avellanal L,Sud America,,,
@boticariagarcia,@boticariagarcia,"<[2020-04-25T15:26:08.921Z, 2020-04-25T15:26:08.923Z, 2020-04-25T16:16:38.594Z, 2020-04-25T16:16:38.595Z, 2020-04-25T16:18:50.011Z, 2020-04-25T16:26:28.474Z, 2020-04-25T16:46:22.142Z, 2020-04-25T16:46:22.143Z, 2020-04-25T17:36:28.292Z, 2020-04-25T17:49:45.482Z, 2020-04-25T17:53:04.716Z, 2020-04-25T18:11:40.661Z, 2020-04-25T19:32:03.904Z, 2020-04-25T19:50:57.427Z, 2020-04-25T20:19:50.666Z, 2020-04-25T20:22:16.429Z, 2020-04-25T20:34:20.697Z, 2020-04-25T22:35:21.163Z, 2020-04-25T23:15:51.692Z, 2020-04-26T00:27:20.932Z, 2020-04-26T07:36:56.744Z, 2020-04-26T07:58:59.241Z, 2020-04-26T07:58:59.242Z, 2020-04-26T08:16:31.287Z, 2020-04-26T09:45:17.659Z, 2020-04-26T09:45:22.847Z, 2020-04-26T09:47:20.368Z, 2020-04-26T13:38:46.577Z, 2020-04-26T14:12:24.511Z, 2020-04-26T18:00:28.315Z, 2020-04-26T21:45:20.117Z, 2020-04-26T22:20:37.849Z, 2020-04-26T22:20:37.850Z, 2020-04-26T23:03:56.895Z, 2020-04-27T07:11:11.430Z, 2020-04-27T08:09:36.278Z, 2020-04-27T08:18:36.213Z, 2020-04-27T08:18:36.214Z, 2020-04-27T08:26:39.659Z, 2020-04-27T08:57:31.049Z, 2020-04-27T08:58:53.796Z, 2020-04-27T09:13:11.214Z, 2020-04-27T09:57:26.950Z, 2020-04-27T11:45:46.243Z, 2020-04-27T12:53:47.818Z, 2020-04-27T12:56:28.712Z, 2020-04-27T15:43:18.539Z, 2020-04-27T15:43:18.540Z, 2020-04-27T18:02:53.986Z, 2020-04-29T06:46:22.478Z, 2020-04-29T11:23:00.751Z, 2020-04-29T11:23:00.752Z, 2020-04-29T12:40:11.086Z, 2020-04-29T15:42:27.564Z, 2020-04-29T15:42:27.565Z, 2020-04-29T15:56:22.926Z, 2020-04-29T17:21:40.134Z, 2020-04-29T17:22:36.533Z, 2020-04-29T17:22:36.534Z, 2020-04-29T17:59:15.702Z, 2020-04-29T19:27:52.629Z, 2020-04-29T19:27:52.630Z, 2020-04-29T19:54:19.580Z, 2020-04-29T20:28:03.450Z, 2020-04-29T20:28:03.451Z, 2020-04-29T21:48:43.188Z, 2020-04-29T22:33:57.882Z, 2020-04-30T05:16:29.705Z, 2020-04-30T05:16:29.706Z, 2020-04-30T09:00:50.057Z, 2020-04-30T09:41:27.005Z, 2020-04-30T10:39:06.491Z, 2020-04-30T10:39:06.492Z, 2020-04-30T13:21:30.230Z, 2020-04-30T16:26:41.221Z, 2020-04-30T16:26:41.222Z, 2020-04-30T16:29:46.842Z, 2020-04-30T18:46:17.191Z, 2020-04-30T18:46:17.192Z, 2020-05-01T07:11:50.674Z, 2020-05-01T11:25:05.184Z, 2020-05-01T11:25:05.185Z, 2020-05-01T11:59:12.948Z, 2020-05-01T11:59:12.949Z, 2020-05-01T12:10:43.012Z, 2020-05-01T12:36:07.742Z, 2020-05-01T12:36:07.743Z, 2020-05-01T12:36:07.744Z, 2020-05-01T13:59:03.894Z, 2020-05-01T13:59:22.905Z, 2020-05-01T14:52:05.536Z, 2020-05-01T14:53:03.000Z, 2020-05-01T15:10:13.456Z, 2020-05-01T19:46:29.674Z, 2020-05-02T08:21:05.075Z, 2020-05-02T09:19:11.373Z, 2020-05-02T09:19:11.374Z, 2020-05-02T09:19:11.376Z, 2020-05-02T18:25:01.094Z, 2020-05-02T18:26:54.884Z, 2020-05-02T18:53:47.773Z, 2020-05-02T18:53:47.774Z, 2020-05-03T00:17:03.977Z, 2020-05-03T00:17:03.978Z, 2020-05-03T06:49:44.773Z, 2020-05-03T06:49:44.774Z, 2020-05-03T08:05:26.069Z, 2020-05-04T09:58:52.794Z, 2020-05-04T09:58:52.795Z, 2020-05-04T19:06:27.415Z, 2020-05-04T19:06:27.417Z, 2020-05-04T19:51:05.807Z, 2020-05-04T21:20:57.846Z, 2020-05-05T05:16:16.308Z, 2020-05-05T05:16:16.310Z, 2020-05-05T11:47:51.303Z, 2020-05-05T16:33:29.160Z, 2020-05-05T16:33:34.355Z, 2020-05-05T16:33:34.356Z, 2020-05-05T16:35:35.143Z, 2020-05-05T16:35:35.145Z]>",User,,,,,,,Sat Dec 31 10:39:14 CET 2011,,,,Dra. Farmacia y nutricionista. Divulgadora de amplio espectro en @RNE @zapeandola6 @elmundoes 🎓@ui1universidad Conquense incansable.,,http://pbs.twimg.com/profile_images/1080589201974931456/KpbMsc7I_bigger.jpg,1174,51312,Marián García,Madrid,,,
@castanoarantxa,@castanoarantxa,"<[2020-04-25T15:26:08.921Z, 2020-04-25T15:26:08.923Z, 2020-04-25T16:16:38.594Z, 2020-04-25T16:16:38.595Z, 2020-04-25T16:18:50.011Z, 2020-04-25T16:26:28.474Z, 2020-04-25T16:46:22.142Z, 2020-04-25T16:46:22.143Z, 2020-04-25T17:36:28.292Z, 2020-04-25T17:49:45.482Z, 2020-04-25T17:53:04.716Z, 2020-04-25T18:11:40.661Z, 2020-04-25T19:32:03.904Z, 2020-04-25T19:50:57.427Z, 2020-04-25T20:19:50.666Z, 2020-04-25T20:22:16.429Z, 2020-04-25T20:34:20.697Z, 2020-04-25T22:35:21.163Z, 2020-04-25T23:15:51.692Z, 2020-04-26T00:27:20.932Z, 2020-04-26T07:36:56.744Z, 2020-04-26T07:58:59.241Z, 2020-04-26T07:58:59.242Z, 2020-04-26T08:16:31.287Z, 2020-04-26T09:45:17.659Z, 2020-04-26T09:45:22.847Z, 2020-04-26T09:47:20.368Z, 2020-04-26T13:38:46.577Z, 2020-04-26T14:12:24.511Z, 2020-04-26T18:00:28.315Z, 2020-04-26T21:45:20.117Z, 2020-04-26T22:20:37.849Z, 2020-04-26T22:20:37.850Z, 2020-04-27T07:11:11.430Z, 2020-04-27T08:09:36.278Z, 2020-04-27T08:18:36.213Z, 2020-04-27T08:18:36.214Z, 2020-04-27T08:26:39.659Z, 2020-04-27T08:57:31.049Z, 2020-04-27T08:58:53.796Z, 2020-04-27T09:13:11.214Z, 2020-04-27T09:57:26.950Z, 2020-04-27T11:45:46.243Z, 2020-04-27T12:53:47.818Z, 2020-04-27T12:56:28.712Z, 2020-04-27T15:43:18.539Z, 2020-04-27T15:43:18.540Z, 2020-04-27T18:02:53.986Z, 2020-04-29T06:46:22.478Z, 2020-04-29T11:23:00.751Z, 2020-04-29T11:23:00.752Z, 2020-04-29T12:40:11.086Z, 2020-04-29T15:42:27.564Z, 2020-04-29T15:42:27.565Z, 2020-04-29T15:56:22.926Z, 2020-04-29T17:21:40.134Z, 2020-04-29T17:22:36.533Z, 2020-04-29T17:22:36.534Z, 2020-04-29T17:59:15.702Z, 2020-04-29T19:27:52.629Z, 2020-04-29T19:27:52.630Z, 2020-04-29T19:54:19.580Z, 2020-04-29T20:28:03.450Z, 2020-04-29T20:28:03.451Z, 2020-04-29T21:48:43.188Z, 2020-04-29T22:33:57.882Z, 2020-04-30T05:16:29.705Z, 2020-04-30T05:16:29.706Z, 2020-04-30T09:00:50.057Z, 2020-04-30T09:41:27.005Z, 2020-04-30T10:39:06.491Z, 2020-04-30T10:39:06.492Z, 2020-04-30T13:21:30.230Z, 2020-04-30T16:26:41.221Z, 2020-04-30T16:26:41.222Z, 2020-04-30T16:29:46.842Z, 2020-04-30T18:46:17.191Z, 2020-04-30T18:46:17.192Z, 2020-05-01T07:11:50.674Z, 2020-05-01T11:25:05.184Z, 2020-05-01T11:25:05.185Z, 2020-05-01T11:59:12.948Z, 2020-05-01T11:59:12.949Z, 2020-05-01T12:10:43.012Z, 2020-05-01T12:36:07.742Z, 2020-05-01T12:36:07.743Z, 2020-05-01T12:36:07.744Z, 2020-05-01T13:59:03.894Z, 2020-05-01T13:59:22.905Z, 2020-05-01T14:52:05.536Z, 2020-05-01T14:53:03.000Z, 2020-05-01T15:10:13.456Z, 2020-05-01T19:46:29.674Z, 2020-05-02T08:21:05.075Z, 2020-05-02T09:19:11.373Z, 2020-05-02T09:19:11.374Z, 2020-05-02T09:19:11.376Z, 2020-05-02T18:25:01.094Z, 2020-05-02T18:26:54.884Z, 2020-05-02T18:53:47.773Z, 2020-05-02T18:53:47.774Z, 2020-05-03T00:17:03.977Z, 2020-05-03T00:17:03.978Z, 2020-05-03T06:49:44.773Z, 2020-05-03T06:49:44.774Z, 2020-05-03T08:05:26.069Z, 2020-05-04T09:58:52.794Z, 2020-05-04T09:58:52.795Z, 2020-05-04T19:06:27.415Z, 2020-05-04T19:06:27.417Z, 2020-05-04T19:51:05.807Z, 2020-05-04T21:20:57.846Z, 2020-05-05T05:16:16.308Z, 2020-05-05T05:16:16.310Z, 2020-05-05T11:47:51.303Z, 2020-05-05T16:33:29.160Z, 2020-05-05T16:33:34.355Z, 2020-05-05T16:33:34.356Z, 2020-05-05T16:35:35.143Z, 2020-05-05T16:35:35.145Z]>",User,,,,,,,Thu Jun 02 10:05:54 CEST 2011,,,,Periodista que a ratos enreda con la Historia. Zamorana del mundo. En @ciencialacarta y @cienciatres. Perfil personal.,,http://pbs.twimg.com/profile_images/1001098958784036864/lleDd6gW_bigger.jpg,727,627,Arantxa Castaño,"Castilla-La Mancha, España",,,
@elhuertodepapel,@elhuertodepapel,"<[2020-04-25T15:26:08.921Z, 2020-04-25T15:26:08.923Z, 2020-04-25T16:16:38.594Z, 2020-04-25T16:16:38.595Z, 2020-04-25T16:18:50.011Z, 2020-04-25T16:26:28.474Z, 2020-04-25T16:46:22.142Z, 2020-04-25T16:46:22.143Z, 2020-04-25T17:36:28.292Z, 2020-04-25T17:49:45.482Z, 2020-04-25T17:53:04.716Z, 2020-04-25T18:11:40.661Z, 2020-04-25T19:32:03.904Z, 2020-04-25T19:50:57.427Z, 2020-04-25T20:19:50.666Z, 2020-04-25T20:22:16.429Z, 2020-04-25T20:34:20.697Z, 2020-04-25T22:35:21.163Z, 2020-04-25T23:15:51.692Z, 2020-04-26T00:27:20.932Z, 2020-04-26T07:36:56.744Z, 2020-04-26T07:58:59.241Z, 2020-04-26T07:58:59.242Z, 2020-04-26T08:16:31.287Z, 2020-04-26T09:45:17.659Z, 2020-04-26T09:45:22.847Z, 2020-04-26T09:47:20.368Z, 2020-04-26T13:38:46.577Z, 2020-04-26T14:12:24.511Z, 2020-04-26T18:00:28.315Z, 2020-04-26T21:45:20.117Z, 2020-04-26T22:20:37.849Z, 2020-04-26T22:20:37.850Z, 2020-04-27T07:11:11.430Z, 2020-04-27T08:09:36.278Z, 2020-04-27T08:18:36.213Z, 2020-04-27T08:18:36.214Z, 2020-04-27T08:26:39.659Z, 2020-04-27T08:57:31.049Z, 2020-04-27T08:58:53.796Z, 2020-04-27T09:13:11.214Z, 2020-04-27T09:57:26.950Z, 2020-04-27T11:45:46.243Z, 2020-04-27T12:53:47.818Z, 2020-04-27T12:56:28.712Z, 2020-04-27T15:43:18.539Z, 2020-04-27T15:43:18.540Z, 2020-04-27T18:02:53.986Z, 2020-04-29T06:46:22.478Z, 2020-04-29T11:23:00.751Z, 2020-04-29T11:23:00.752Z, 2020-04-29T12:40:11.086Z, 2020-04-29T15:42:27.564Z, 2020-04-29T15:42:27.565Z, 2020-04-29T15:56:22.926Z, 2020-04-29T17:21:40.134Z, 2020-04-29T17:22:36.533Z, 2020-04-29T17:22:36.534Z, 2020-04-29T17:59:15.702Z, 2020-04-29T19:27:52.629Z, 2020-04-29T19:27:52.630Z, 2020-04-29T19:54:19.580Z, 2020-04-29T20:28:03.450Z, 2020-04-29T20:28:03.451Z, 2020-04-29T21:48:43.188Z, 2020-04-29T22:33:57.882Z, 2020-04-30T05:16:29.705Z, 2020-04-30T05:16:29.706Z, 2020-04-30T09:00:50.057Z, 2020-04-30T09:41:27.005Z, 2020-04-30T10:39:06.491Z, 2020-04-30T10:39:06.492Z, 2020-04-30T13:21:30.230Z, 2020-04-30T16:26:41.221Z, 2020-04-30T16:26:41.222Z, 2020-04-30T16:29:46.842Z, 2020-04-30T18:46:17.191Z, 2020-04-30T18:46:17.192Z, 2020-05-01T07:11:50.674Z, 2020-05-01T11:25:05.184Z, 2020-05-01T11:25:05.185Z, 2020-05-01T11:59:12.948Z, 2020-05-01T11:59:12.949Z, 2020-05-01T12:10:43.012Z, 2020-05-01T12:36:07.743Z, 2020-05-01T12:36:07.744Z, 2020-05-01T13:59:03.894Z, 2020-05-01T13:59:22.905Z, 2020-05-01T14:52:05.536Z, 2020-05-01T14:53:03.000Z, 2020-05-01T15:10:13.456Z, 2020-05-01T19:46:29.674Z, 2020-05-02T08:21:05.075Z, 2020-05-02T09:19:11.373Z, 2020-05-02T09:19:11.374Z, 2020-05-02T09:19:11.376Z, 2020-05-02T18:25:01.094Z, 2020-05-02T18:26:54.884Z, 2020-05-02T18:53:47.773Z, 2020-05-02T18:53:47.774Z, 2020-05-03T00:17:03.977Z, 2020-05-03T00:17:03.978Z, 2020-05-03T06:49:44.773Z, 2020-05-03T06:49:44.774Z, 2020-05-03T08:05:26.069Z, 2020-05-04T09:58:52.794Z, 2020-05-04T09:58:52.795Z, 2020-05-04T19:06:27.415Z, 2020-05-04T19:06:27.417Z, 2020-05-04T19:51:05.807Z, 2020-05-04T21:20:57.846Z, 2020-05-05T05:16:16.308Z, 2020-05-05T05:16:16.310Z, 2020-05-05T11:47:51.303Z, 2020-05-05T16:33:29.160Z, 2020-05-05T16:33:34.355Z, 2020-05-05T16:33:34.356Z, 2020-05-05T16:35:35.143Z, 2020-05-05T16:35:35.145Z]>",User,,,,,,,,,,,,,,,,,,,,
@andresaberas,@andresaberas,"<[2020-04-25T15:26:08.923Z, 2020-04-25T16:16:38.595Z, 2020-04-25T16:18:50.011Z, 2020-04-25T16:26:28.474Z, 2020-04-25T16:46:22.143Z, 2020-04-25T17:36:28.292Z, 2020-04-25T17:49:45.482Z, 2020-04-25T17:53:04.716Z, 2020-04-25T18:11:40.661Z, 2020-04-25T19:32:03.904Z, 2020-04-25T19:50:57.427Z, 2020-04-25T20:19:50.666Z, 2020-04-25T20:22:16.429Z, 2020-04-25T20:34:20.697Z, 2020-04-25T22:35:21.163Z, 2020-04-25T23:15:51.692Z, 2020-04-26T00:27:20.932Z, 2020-04-26T07:36:56.744Z, 2020-04-26T07:58:59.241Z, 2020-04-26T07:58:59.242Z, 2020-04-26T08:16:31.287Z, 2020-04-26T09:45:17.659Z, 2020-04-26T09:45:22.847Z, 2020-04-26T09:47:20.368Z, 2020-04-26T13:38:46.577Z, 2020-04-26T14:12:24.511Z, 2020-04-26T18:00:28.315Z, 2020-04-26T21:45:20.117Z, 2020-04-26T22:20:37.850Z, 2020-04-27T07:11:11.430Z, 2020-04-27T08:09:36.278Z, 2020-04-27T08:18:36.214Z, 2020-04-27T08:26:39.659Z, 2020-04-27T08:57:31.049Z, 2020-04-27T08:58:53.796Z, 2020-04-27T09:13:11.214Z, 2020-04-27T09:57:26.950Z, 2020-04-27T11:45:46.243Z, 2020-04-27T12:53:47.818Z, 2020-04-27T12:56:28.712Z, 2020-04-27T15:43:18.539Z, 2020-04-27T15:43:18.540Z, 2020-04-27T18:02:53.986Z, 2020-04-29T06:46:22.478Z, 2020-04-29T11:23:00.752Z, 2020-04-29T12:40:11.086Z, 2020-04-29T15:42:27.565Z, 2020-04-29T15:56:22.926Z, 2020-04-29T17:21:40.134Z, 2020-04-29T17:22:36.533Z, 2020-04-29T17:22:36.534Z, 2020-04-29T17:59:15.702Z, 2020-04-29T19:27:52.630Z, 2020-04-29T19:54:19.580Z, 2020-04-29T20:28:03.451Z, 2020-04-29T21:48:43.188Z, 2020-04-29T22:33:57.882Z, 2020-04-30T05:16:29.706Z, 2020-04-30T09:00:50.057Z, 2020-04-30T09:41:27.005Z, 2020-04-30T10:39:06.492Z, 2020-04-30T13:21:30.230Z, 2020-04-30T16:26:41.222Z, 2020-04-30T16:29:46.842Z, 2020-04-30T18:46:17.192Z, 2020-05-01T07:11:50.674Z, 2020-05-01T11:25:05.185Z, 2020-05-01T11:59:12.949Z, 2020-05-01T12:10:43.012Z, 2020-05-01T12:36:07.743Z, 2020-05-01T12:36:07.744Z, 2020-05-01T13:59:03.894Z, 2020-05-01T13:59:22.905Z, 2020-05-01T14:52:05.536Z, 2020-05-01T14:53:03.000Z, 2020-05-01T15:10:13.456Z, 2020-05-01T19:46:29.674Z, 2020-05-02T08:21:05.075Z, 2020-05-02T09:19:11.373Z, 2020-05-02T09:19:11.376Z, 2020-05-02T18:25:01.094Z, 2020-05-02T18:26:54.884Z, 2020-05-02T18:53:47.774Z, 2020-05-03T00:17:03.978Z, 2020-05-03T06:49:44.774Z, 2020-05-03T08:05:26.069Z, 2020-05-04T09:58:52.795Z, 2020-05-04T19:06:27.417Z, 2020-05-04T19:51:05.807Z, 2020-05-04T21:20:57.846Z, 2020-05-05T05:16:16.310Z, 2020-05-05T11:47:51.303Z, 2020-05-05T16:33:29.160Z, 2020-05-05T16:33:34.356Z, 2020-05-05T16:35:35.143Z, 2020-05-05T16:35:35.145Z]>",User,,,,,,,,,,,,,,,,,,,,
@granvilas,@granvilas,"<[2020-04-25T15:26:08.923Z, 2020-04-25T16:16:38.595Z, 2020-04-25T16:18:50.011Z, 2020-04-25T16:26:28.474Z, 2020-04-25T16:46:22.143Z, 2020-04-25T17:36:28.292Z, 2020-04-25T17:49:45.482Z, 2020-04-25T17:53:04.716Z, 2020-04-25T18:11:40.661Z, 2020-04-25T19:32:03.904Z, 2020-04-25T19:50:57.427Z, 2020-04-25T20:19:50.666Z, 2020-04-25T20:22:16.429Z, 2020-04-25T20:34:20.697Z, 2020-04-25T22:35:21.163Z, 2020-04-25T23:15:51.692Z, 2020-04-26T00:27:20.932Z, 2020-04-26T07:36:56.744Z, 2020-04-26T07:58:59.241Z, 2020-04-26T07:58:59.242Z, 2020-04-26T08:16:31.287Z, 2020-04-26T09:45:17.659Z, 2020-04-26T09:45:22.847Z, 2020-04-26T09:47:20.368Z, 2020-04-26T13:38:46.577Z, 2020-04-26T14:12:24.511Z, 2020-04-26T15:05:44.583Z, 2020-04-26T15:26:25.274Z, 2020-04-26T18:00:28.315Z, 2020-04-26T19:23:51.157Z, 2020-04-26T19:25:37.390Z, 2020-04-26T19:27:01.806Z, 2020-04-26T19:29:39.574Z, 2020-04-26T19:58:55.371Z, 2020-04-26T20:51:50.923Z, 2020-04-26T21:45:20.117Z, 2020-04-26T22:20:37.850Z, 2020-04-27T06:54:53.545Z, 2020-04-27T07:05:04.889Z, 2020-04-27T07:11:11.430Z, 2020-04-27T08:09:36.278Z, 2020-04-27T08:14:21.149Z, 2020-04-27T08:18:36.214Z, 2020-04-27T08:26:39.659Z, 2020-04-27T08:29:35.641Z, 2020-04-27T08:57:31.049Z, 2020-04-27T09:13:11.214Z, 2020-04-27T09:57:26.950Z, 2020-04-27T11:45:46.243Z, 2020-04-27T12:53:47.818Z, 2020-04-27T12:56:28.712Z, 2020-04-27T15:43:18.539Z, 2020-04-27T15:43:18.540Z, 2020-04-27T18:02:53.986Z, 2020-04-29T06:46:22.478Z, 2020-04-29T11:23:00.752Z, 2020-04-29T12:40:11.086Z, 2020-04-29T15:42:27.565Z, 2020-04-29T15:56:22.926Z, 2020-04-29T17:21:40.134Z, 2020-04-29T17:22:36.533Z, 2020-04-29T17:22:36.534Z, 2020-04-29T17:59:15.702Z, 2020-04-29T19:27:52.630Z, 2020-04-29T19:54:19.580Z, 2020-04-29T20:28:03.451Z, 2020-04-29T21:48:43.188Z, 2020-04-29T22:33:57.882Z, 2020-04-30T05:16:29.706Z, 2020-04-30T09:00:50.057Z, 2020-04-30T09:41:27.005Z, 2020-04-30T10:39:06.492Z, 2020-04-30T13:21:30.230Z, 2020-04-30T16:26:41.222Z, 2020-04-30T16:29:46.842Z, 2020-04-30T18:46:17.192Z, 2020-05-01T07:11:50.674Z, 2020-05-01T11:25:05.185Z, 2020-05-01T11:59:12.949Z, 2020-05-01T12:10:43.012Z, 2020-05-01T12:36:07.743Z, 2020-05-01T12:36:07.744Z, 2020-05-01T13:59:03.894Z, 2020-05-01T13:59:22.905Z, 2020-05-01T14:52:05.536Z, 2020-05-01T14:53:03.000Z, 2020-05-01T15:10:13.456Z, 2020-05-01T19:46:29.674Z, 2020-05-02T08:21:05.075Z, 2020-05-02T09:19:11.373Z, 2020-05-02T09:19:11.376Z, 2020-05-02T18:25:01.094Z, 2020-05-02T18:26:54.884Z, 2020-05-02T18:53:47.774Z, 2020-05-03T00:17:03.978Z, 2020-05-03T06:49:44.774Z, 2020-05-03T08:05:26.069Z, 2020-05-04T09:58:52.795Z, 2020-05-04T19:06:27.417Z, 2020-05-04T19:51:05.807Z, 2020-05-04T21:20:57.846Z, 2020-05-05T05:16:16.310Z, 2020-05-05T11:47:51.303Z, 2020-05-05T16:33:29.160Z, 2020-05-05T16:33:34.356Z, 2020-05-05T16:35:35.143Z, 2020-05-05T16:35:35.145Z]>",User,,,,,,,,,,,,,,,,,,,,
@chenoa,@chenoa,"<[2020-04-25T15:26:08.923Z, 2020-04-25T16:16:38.595Z, 2020-04-25T16:18:50.011Z, 2020-04-25T16:26:28.474Z, 2020-04-25T16:46:22.143Z, 2020-04-25T17:36:28.292Z, 2020-04-25T17:49:45.482Z, 2020-04-25T17:53:04.716Z, 2020-04-25T18:11:40.661Z, 2020-04-25T19:32:03.904Z, 2020-04-25T19:50:57.427Z, 2020-04-25T20:19:50.666Z, 2020-04-25T20:22:16.429Z, 2020-04-25T20:34:20.697Z, 2020-04-25T22:35:21.163Z, 2020-04-25T23:15:51.692Z, 2020-04-26T00:27:20.932Z, 2020-04-26T07:36:56.744Z, 2020-04-26T07:58:59.241Z, 2020-04-26T07:58:59.242Z, 2020-04-26T08:16:31.287Z, 2020-04-26T09:45:17.659Z, 2020-04-26T09:45:22.847Z, 2020-04-26T09:47:20.368Z, 2020-04-26T13:38:46.577Z, 2020-04-26T14:12:24.511Z, 2020-04-26T18:00:28.315Z, 2020-04-26T21:45:20.117Z, 2020-04-26T22:20:37.850Z, 2020-04-27T07:11:11.430Z, 2020-04-27T08:09:36.278Z, 2020-04-27T08:18:36.214Z, 2020-04-27T08:26:39.659Z, 2020-04-27T08:57:31.049Z, 2020-04-27T09:13:11.214Z, 2020-04-27T09:57:26.950Z, 2020-04-27T11:45:46.243Z, 2020-04-27T12:53:47.818Z, 2020-04-27T12:56:28.712Z, 2020-04-27T15:43:18.539Z, 2020-04-27T15:43:18.540Z, 2020-04-27T18:02:53.986Z, 2020-04-29T06:46:22.478Z, 2020-04-29T11:23:00.752Z, 2020-04-29T12:40:11.086Z, 2020-04-29T15:42:27.565Z, 2020-04-29T15:56:22.926Z, 2020-04-29T17:21:40.134Z, 2020-04-29T17:22:36.533Z, 2020-04-29T17:22:36.534Z, 2020-04-29T17:59:15.702Z, 2020-04-29T19:27:52.630Z, 2020-04-29T19:54:19.580Z, 2020-04-29T20:28:03.451Z, 2020-04-29T21:48:43.188Z, 2020-04-29T22:33:57.882Z, 2020-04-30T05:16:29.706Z, 2020-04-30T09:00:50.057Z, 2020-04-30T09:41:27.005Z, 2020-04-30T10:39:06.492Z, 2020-04-30T13:21:30.230Z, 2020-04-30T16:26:41.222Z, 2020-04-30T16:29:46.842Z, 2020-04-30T18:46:17.192Z, 2020-05-01T07:11:50.674Z, 2020-05-01T11:25:05.185Z, 2020-05-01T11:59:12.949Z, 2020-05-01T12:10:43.012Z, 2020-05-01T12:36:07.743Z, 2020-05-01T12:36:07.744Z, 2020-05-01T13:59:03.894Z, 2020-05-01T13:59:22.905Z, 2020-05-01T14:52:05.536Z, 2020-05-01T14:53:03.000Z, 2020-05-01T15:10:13.456Z, 2020-05-01T19:46:29.674Z, 2020-05-02T08:21:05.075Z, 2020-05-02T09:19:11.373Z, 2020-05-02T09:19:11.376Z, 2020-05-02T18:25:01.094Z, 2020-05-02T18:26:54.884Z, 2020-05-02T18:53:47.774Z, 2020-05-03T00:17:03.978Z, 2020-05-03T06:49:44.774Z, 2020-05-03T08:05:26.069Z, 2020-05-04T09:58:52.795Z, 2020-05-04T19:06:27.417Z, 2020-05-04T19:51:05.807Z, 2020-05-04T21:20:57.846Z, 2020-05-05T05:16:16.310Z, 2020-05-05T11:47:51.303Z, 2020-05-05T16:33:29.160Z, 2020-05-05T16:33:34.356Z, 2020-05-05T16:35:35.143Z, 2020-05-05T16:35:35.145Z]>",User,,,,,,,,,,,,,,,,,,,,
